Code	Country	Year	Title	Text
USA	United States	1939	WWII Explodes	"The start of the war in Europe is generally held to be 1 September 1939,beginning with the German invasion of Poland. Britain and France declared war on Germany two days later. "
USA	United States	1941	Attack on Pearl Harbor	"Japanese attacks the United States Naval Base at Pearl Harbor, Hawaii Territory. The ranking United States naval officer in Pearl Harbor, known as the Commander-in-Chief Pacific, sends this hurried dispatches to all major navy commands and fleet units. After that day, the U.S. enters WWII and declares war on Japan. "
USA	United States	1949	PRC Establishes	"Chinese Communist Party leader Mao Zedong establishes the People's Republic of China after peasant-backed Communists defeat the Nationalist government of Chiang Kai-shek. The United States supports Chiang's exiled Republic of China government in Taipei, setting the stage for several decades of limited U.S. relations with mainland China. For a long time after 1949, the panda is only granted to allied socialist states."
USA	United States	1950	Korean War 	"The Soviet-backed North Korean People's Army invades South Korea. The United Nations and the United States rush to South Korea's defense. China, in support of the communist North, retaliates when U.S., UN, and South Korean troops approach the Chinese border."
USA	United States	1954	Taiwan Crisis	"Washington signs a mutual defense treaty with Chiang's Nationalists. Next year, the United States threatens a nuclear attack on China."
USA	United States	1964	China's Atomic Test	"China joins the nuclear club in October 1964 when it conducts its first test of an atomic bomb. The test comes amid U.S.-Sino tensions over the escalating conflict in Vietnam. By the time of the test, China has amassed troops along its border with Vietnam."
USA	United States	1971	Ping-Pong Diplomacy	"In the first public sign of warming relations between Washington and Beijing, China's ping-pong team invites members of the U.S. team to China. Secretary of State Henry Kissinger makes a secret trip to China. Shortly thereafter, the United Nations recognizes the People's Republic of China, endowing it with the permanent Security Council seat that has been held by Chiang Kai-shek's Republic of China on Taiwan."
USA	United States	1972	Nixon Visits China	"President Richard Nixon spends eight days in China, during which he meets Chairman Mao Zedong and signs the Shanghai Communique with Premier Zhou Enlai. The communique sets the stage for improved U.S.-Sino relations by allowing China and the United States to discuss difficult issues, particularly Taiwan."
USA	United States	1979	Formal Ties 	"U.S. President Jimmy Carter grants China full diplomatic recognition, while acknowledging mainland China's One China principle and severing normal tied with Taiwan. However, in April, Congress approves the Taiwan Relations Act, allowing continued commercial and cultural relations between the United States and Taiwan. The act requires Washington to provide Taipei with defensive arms, but does not officially violate the U.S.'s One China policy."
USA	United States	1982	Sino-U.S. Relation Normalizes	"The Reagan administration issues the 'Six Assurances' to Taiwan, including pledge that it would honor the Taiwan Relations Act, it would not mediate between Taiwan and China, and it has no set date to terminate arms sales to Taiwan. The Reagan administration then signs in August 1982 a third joint communique with the People's Republic of China to normalize relations. It reaffirms the U.S. commitment to its One China policy."
USA	United States	1989	Tiananmen Square Massacre	"In the spring of 1989, thousands of students hold demonstrations in Beijing's Tiananmen Square, demanding democratic reform and an end to corruption. On June 3, the government sends in military troops to clear the square, leaving hundreds of protesters dead. In response, the U.S. government suspends military sales to Beijing and freezes relations."
USA	United States	1999	Belgrade Embassy Bombing	"NATO accidentally bombs the Chinese embassy in Belgrade during its campaign against Serbian forces occupying Kosovo in May 1999, shaking U.S.-Sino relations. The United States and NATO offer apologies for the series of U.S. intelligence mistakes that leads to the deadly bombing, but thousands of Chinese demonstrators protest throughout the country, attacking official U.S. property."
USA	United States	2000	Trade Relation Normalizes	"U.S. President Bill Clinton signs the U.S.-China Relations Act of 2000 in October, granting Beijing permanent normal trade relations with the United States and paving the way for China to join the World Trade Organization in 2001."
USA	United States	2008	China: Largest U.S. Creditor	"In September 2008, China surpasses Japan to become the largest holder of U.S. debt--or treasuries--at around $600 billion. The growing interdependence between the U.S. and Chinese economies become evident as a financial crisis threatened the global economy, fueling concerned over U.S.-China economic imbalances."
USA	United States	2012	Rising Trade Tensions	"The U.S. trade deficit with China rises from $273.1 billion in 2010 to an all-time high of $295.5 billion in 2011. The increase accounts for three-quarters of the growth in the U.S. trade deficit for 2011. The United States and its allies contend China's quota violates international trade norms, forcing multinational firms that use the metals to relocate to China."
USA	United States	2015	South China Sea Issue	"At the fourteenth annual Shangri-La Dialogue on Asian security, U.S. Secretary of Defense Ashton Carter calls on China to haltits controversial land reclamation efforts in the South China Sea, saying that the United States opposes 'any further militarization' of the disputed territory."
GBR	United Kingdom	1945	Allies in WWII	Anti-Communist Nationalist Chinese and British fight side by side against Japan in World War II. The British train Chinese troops in India and use them in the Burma campaign.
GBR	United Kingdom	1949	The Yangtse Incident	The People's Liberation Army attacks HMS Amethyst (F116) travelling to the British Embassy in Nanjing in the Amethyst incident. The Chinese Communists do not recognize the Unequal treaties and protest the ship's right to sail on the Yangtze.
GBR	United Kingdom	1950	Korean War 	"The United Kingdom recognizes the PRC as the government of China. However, British Commonwealth Forces in Korea defend Hill 282 against Chinese and North Korean forces in the Battle of Pakchon, part of the Korean War. The Chinese People's Volunteer Army defeat U.N forces, including the British at the Battle of Chosin Reservoir, part of the Korean War."
