Code	Country	Year	GDP	Trade	Military
CHN	China	1941			244
CHN	China	1942			61.724
CHN	China	1943			331.806
CHN	China	1944			195.582
CHN	China	1945			228.612
CHN	China	1946			789.3
CHN	China	1947			257.474
CHN	China	1948			214.176
CHN	China	1949			2030
CHN	China	1950			2558
CHN	China	1951			3094
CHN	China	1952			2709
CHN	China	1953			2538.205
CHN	China	1954			2538.205
CHN	China	1955			2575
CHN	China	1956			5539.17
CHN	China	1957			6219.08
CHN	China	1958			5894.07
CHN	China	1959			6612.47
CHN	China	1960	59716467625		6727.61
CHN	China	1961	50056868958		7953.2
CHN	China	1962	47209359006		9329.7
CHN	China	1963	50706799903		10690.35
CHN	China	1964	59708343489		12851.09
CHN	China	1965	70436266147		13787.58
CHN	China	1966	76720285970		15931.44
CHN	China	1967	72881631327		16389.24
CHN	China	1968	70846535056		17856.96
CHN	China	1969	79705906247		20299.92
CHN	China	1970	92602973434		23775.52
CHN	China	1971	99800958648		21600
CHN	China	1972	113688000000		22500
CHN	China	1973	138544000000		24500
CHN	China	1974	144182000000		26800
CHN	China	1975	163432000000		28500
CHN	China	1976	153940000000		31700
CHN	China	1977	174938000000		32700
CHN	China	1978	149541000000		35000
CHN	China	1979	178283000000		30000
CHN	China	1980	191150000000		28500
CHN	China	1981	195865000000		30500
CHN	China	1982	205092000000		33000
CHN	China	1983	230686000000		34500
CHN	China	1984	259946000000		23850
CHN	China	1985	309486000000		6350
CHN	China	1986	300759000000		5830
CHN	China	1987	272973000000		5640
CHN	China	1988	312354000000		5860
CHN	China	1989	347767000000		6670
CHN	China	1990	360859000000		6060
CHN	China	1991	383373000000		18790
CHN	China	1992	426915000000		24300
CHN	China	1993	444731000000		27400
CHN	China	1994	564325000000		28945
CHN	China	1995	734548000000		32929
CHN	China	1996	863746000000		36176
CHN	China	1997	961603000000		36551
CHN	China	1998	1029040000000		38191
CHN	China	1999	1094000000000		39889
CHN	China	2000	1211350000000		42000
CHN	China	2001	1339400000000		46049
CHN	China	2002	1470550000000		68963
CHN	China	2003	1660290000000		75500
CHN	China	2004	1955350000000		84303
CHN	China	2005	2285970000000		29873
CHN	China	2006	2752130000000		35223
CHN	China	2007	3552180000000		46174
CHN	China	2008	4598210000000		60187
CHN	China	2009	5109950000000		70381
CHN	China	2010	6100620000000		76361
CHN	China	2011	7572550000000		90221
CHN	China	2012	8560550000000		102643
