id,USA,GBR,RUS,AUT,JPN,FRA,MEX,ESP,DEU,MYS,CHN
1939,0,0,0,0,0,0,0,0,0,0,2
1940,0,0,0,0,0,0,0,0,0,0,2
1941,1,0,0,0,0,0,0,0,0,0,2
1942,1,0,0,0,0,0,0,0,0,0,2
1943,1,0,0,0,0,0,0,0,0,0,2
1944,1,0,0,0,0,0,0,0,0,0,2
1945,1,0,0,0,0,0,0,0,0,0,2
1946,1,1,0,0,0,0,0,0,0,0,2
1947,1,1,0,0,0,0,0,0,0,0,2
1948,1,1,0,0,0,0,0,0,0,0,2
1949,1,1,0,0,0,0,0,0,0,0,2
1950,1,1,0,0,0,0,0,0,0,0,2
1951,1,1,0,0,0,0,0,0,0,0,2
1952,1,1,0,0,0,0,0,0,0,0,2
1953,1,1,0,0,0,0,0,0,0,0,2
1954,1,1,0,0,0,0,0,0,0,0,2
1955,1,1,0,0,0,0,0,0,0,0,2
1956,1,1,0,0,0,0,0,0,0,0,2
1957,1,1,1,0,0,0,0,0,0,0,2
1958,1,1,1,1,0,0,0,0,0,0,2
1959,1,1,1,1,0,0,0,0,0,0,2
1960,1,1,1,1,0,0,0,0,0,0,2
1961,1,1,1,1,0,0,0,0,0,0,2
1962,1,1,1,1,0,0,0,0,0,0,2
1963,1,1,1,1,0,0,0,0,0,0,2
1964,1,1,1,1,0,0,0,0,0,0,2
1965,1,1,1,1,0,0,0,0,0,0,2
1966,1,1,1,1,0,0,0,0,0,0,2
1967,1,1,1,1,0,0,0,0,0,0,2
1968,1,1,1,1,0,0,0,0,0,0,2
1969,1,1,1,1,0,0,0,0,0,0,2
1970,1,1,1,1,0,0,0,0,0,0,2
1971,1,1,1,1,0,0,0,0,0,0,2
1972,1,1,1,1,1,0,0,0,0,0,2
1973,1,1,1,1,1,1,0,0,0,0,2
1974,1,1,1,1,1,1,0,0,0,0,2
1975,1,1,1,1,1,1,1,0,0,0,2
1976,1,1,1,1,1,1,1,0,0,0,2
1977,1,1,1,1,1,1,1,0,0,0,2
1978,1,1,1,1,1,1,1,1,0,0,2
1979,1,1,1,1,1,1,1,1,0,0,2
1980,1,1,1,1,1,1,1,1,1,0,2
1981,1,1,1,1,1,1,1,1,1,0,2
1982,1,1,1,1,1,1,1,1,1,0,2
1983,1,1,1,1,1,1,1,1,1,0,2
1984,1,1,1,1,1,1,1,1,1,0,2
1985,1,1,1,1,1,1,1,1,1,0,2
1986,1,1,1,1,1,1,1,1,1,0,2
1987,1,1,1,1,1,1,1,1,1,0,2
1988,1,1,1,1,1,1,1,1,1,0,2
1989,1,1,1,1,1,1,1,1,1,0,2
1990,1,1,1,1,1,1,1,1,1,0,2
1991,1,1,1,1,1,1,1,1,1,0,2
1992,1,1,1,1,1,1,1,1,1,0,2
1993,1,1,1,1,1,1,1,1,1,0,2
1994,1,1,1,1,1,1,1,1,1,0,2
1995,1,1,1,1,1,1,1,1,1,0,2
1996,1,1,1,1,1,1,1,1,1,0,2
1997,1,1,1,1,1,1,1,1,1,0,2
1998,1,1,1,1,1,1,1,1,1,0,2
1999,1,1,1,1,1,1,1,1,1,0,2
2000,1,1,1,1,1,1,1,1,1,0,2
2001,1,1,1,1,1,1,1,1,1,0,2
2002,1,1,1,1,1,1,1,1,1,0,2
2003,1,1,1,1,1,1,1,1,1,0,2
2004,1,1,1,1,1,1,1,1,1,0,2
2005,1,1,1,1,1,1,1,1,1,0,2
2006,1,1,1,1,1,1,1,1,1,0,2
2007,1,1,1,1,1,1,1,1,1,0,2
2008,1,1,1,1,1,1,1,1,1,0,2
2009,1,1,1,1,1,1,1,1,1,0,2
2010,1,1,1,1,1,1,1,1,1,0,2
2011,1,1,1,1,1,1,1,1,1,0,2
2012,1,1,1,1,1,1,1,1,1,0,2
2013,1,1,1,1,1,1,1,1,1,0,2
2014,1,1,1,1,1,1,1,1,1,1,2
2015,1,1,1,1,1,1,1,1,1,1,2
